ID,Featured,%_of_Active_(7d)_Teams_with_App_Installed,Active_(7d)_Installed_Teams,%_of_Installed_Teams_Using_App,App_Active_(7d)_Teams,App_Active_(7d)_Teams_Last_Week,Net_Growth,%_Growth,New,%_New,Resurrected,Retained,%_Retention,Churned,%_Churn,Stale
1,no,25.74,167239,29.50%,49359,45135,4224,9.40%,6839,15.20%,14117,28403,62.90%,16732,37.10%,112999
2,no,23.38,151886,43.30%,65718,61338,4380,7.10%,4048,6.60%,13135,48535,79.10%,12803,20.90%,77256
3,no,16.31,105937,56.00%,59309,58475,834,1.40%,1998,3.40%,5098,52213,89.30%,6262,10.70%,34088
4,no,15.26,99137,14.80%,14681,14445,236,1.60%,447,3.10%,2337,11897,82.40%,2548,17.60%,16424
5,no,14.68,95338,14.00%,13384,12731,653,5.10%,1757,13.80%,4091,7536,59.20%,5195,40.80%,30987
6,no,11.07,71896,32.40%,23286,23682,-396,-1.70%,1127,4.80%,3137,19022,80.30%,4660,19.70%,37545
7,no,10.16,65973,13.50%,8894,8544,350,4.10%,890,10.40%,2351,5653,66.20%,2891,33.80%,29311
8,no,9.76,63397,51.30%,32537,31926,611,1.90%,1120,3.50%,3184,28233,88.40%,3693,11.60%,25363
9,yes,7.59,49277,41.30%,20335,20118,217,1.10%,3217,16.00%,2332,14786,73.50%,5332,26.50%,34376
10,no,7.4,48101,98.60%,47419,40815,6604,16.20%,928,2.30%,8292,38199,93.60%,2616,6.40%,11166
11,no,6.96,45211,31.30%,14146,13786,360,2.60%,917,6.70%,1114,12115,87.90%,1671,12.10%,15965
12,no,6.84,44414,79.40%,35276,34198,1078,3.20%,1283,3.80%,2366,31627,92.50%,2571,7.50%,15055
13,no,6.09,39572,39.00%,15440,14904,536,3.60%,890,6.00%,1780,12770,85.70%,2134,14.30%,22149
14,yes,6.05,39297,13.30%,5214,4888,326,6.70%,1663,34.00%,2005,1546,31.60%,3342,68.40%,37150
15,no,5.57,36202,45.80%,16584,16567,17,0.10%,519,3.10%,1992,14073,84.90%,2494,15.10%,13344
16,no,5.33,34630,13.80%,4787,4486,301,6.70%,514,11.50%,1058,3215,71.70%,1271,28.30%,13797
17,no,5.24,34071,3.30%,1118,918,200,21.80%,497,54.10%,449,172,18.70%,746,81.30%,14571
18,no,4.97,32307,41.30%,13352,13188,164,1.20%,579,4.40%,810,11963,90.70%,1225,9.30%,10337
19,no,4.72,30668,55.30%,16971,16884,87,0.50%,320,1.90%,841,15810,93.60%,1074,6.40%,5900
20,yes,4.03,26212,4.80%,1268,1242,26,2.10%,831,66.90%,284,153,12.30%,1089,87.70%,23491
21,yes,3.78,24576,13.40%,3301,3343,-42,-1.30%,821,24.60%,881,1599,47.80%,1744,52.20%,25412
22,no,3.53,22922,58.90%,13502,13432,70,0.50%,307,2.30%,885,12310,91.60%,1122,8.40%,6133
23,no,3.11,20196,5.80%,1173,1195,-22,-1.80%,44,3.70%,100,1029,86.10%,166,13.90%,2422
24,no,2.99,19438,12.40%,2416,2100,316,15.00%,326,15.50%,715,1375,65.50%,725,34.50%,8854
25,no,2.84,18481,15.60%,2876,2797,79,2.80%,198,7.10%,359,2319,82.90%,478,17.10%,4956
26,yes,2.79,18095,32.40%,5862,5796,66,1.10%,183,3.20%,277,5402,93.20%,394,6.80%,5010
27,no,2.57,16693,4.60%,766,684,82,12.00%,181,26.50%,336,249,36.40%,435,63.60%,6310
28,no,2.25,14587,17.40%,2544,2525,19,0.80%,296,11.70%,549,1699,67.30%,826,32.70%,8443
29,no,1.98,12889,41.20%,5306,4928,378,7.70%,497,10.10%,990,3819,77.50%,1109,22.50%,7017
30,no,1.83,11920,40.70%,4852,4778,74,1.50%,74,1.50%,797,3981,83.30%,797,16.70%,3265
31,no,1.8,11672,52.40%,6115,5941,174,2.90%,168,2.80%,504,5443,91.60%,498,8.40%,3683
32,no,1.77,11502,45.20%,5200,4834,366,7.60%,388,8.00%,980,3832,79.30%,1002,20.70%,8562
33,yes,1.67,10851,10.30%,1122,1027,95,9.30%,188,18.30%,318,616,60.00%,411,40.00%,5758
34,yes,1.63,10573,85.30%,9017,8849,168,1.90%,351,4.00%,384,8282,93.60%,567,6.40%,4147
35,no,1.62,10495,11.10%,1165,1127,38,3.40%,185,16.40%,339,641,56.90%,486,43.10%,2654
36,no,1.56,10153,49.90%,5062,5003,59,1.20%,103,2.10%,235,4724,94.40%,279,5.60%,2763
37,no,1.55,10094,37.70%,3801,3765,36,1.00%,104,2.80%,723,2974,79.00%,791,21.00%,3500
38,no,1.41,9159,46.20%,4230,3369,861,25.60%,670,19.90%,1131,2429,72.10%,940,27.90%,8928
39,yes,1.29,8359,102.00%,8523,8511,12,0.10%,251,2.90%,360,7912,93.00%,599,7.00%,4320
40,no,1.08,7029,62.30%,4382,4386,-4,-0.10%,98,2.20%,330,3954,90.20%,432,9.80%,1999
41,no,1.02,6620,36.30%,2400,2289,111,4.80%,49,2.10%,574,1777,77.60%,512,22.40%,1662
42,no,1.01,6569,38.90%,2554,2545,9,0.40%,73,2.90%,385,2096,82.40%,449,17.60%,1869
43,yes,1,6476,82.90%,5367,4765,602,12.60%,118,2.50%,955,4294,90.10%,471,9.90%,4174
44,no,0.94,6137,43.00%,2638,2672,-34,-1.30%,95,3.60%,281,2262,84.70%,410,15.30%,2045
45,no,0.94,6097,51.00%,3112,3029,83,2.70%,148,4.90%,264,2700,89.10%,329,10.90%,1673
46,no,0.91,5884,39.80%,2343,2391,-48,-2.00%,51,2.10%,133,2159,90.30%,232,9.70%,1731
47,yes,0.89,5760,45.70%,2635,2676,-41,-1.50%,176,6.60%,265,2194,82.00%,482,18.00%,4150
48,no,0.88,5699,14.80%,842,788,54,6.90%,203,25.80%,303,336,42.60%,452,57.40%,4820
49,no,0.87,5664,43.00%,2433,2423,10,0.40%,44,1.80%,385,2004,82.70%,419,17.30%,1744
50,yes,0.79,5158,40.20%,2076,1950,126,6.50%,187,9.60%,465,1424,73.00%,526,27.00%,2938
51,yes,0.76,4920,100.00%,4922,4692,230,4.90%,308,6.60%,384,4230,90.20%,462,9.80%,2811
52,no,0.75,4865,12.10%,591,548,43,7.80%,96,17.50%,171,324,59.10%,224,40.90%,2163
53,yes,0.72,4700,67.80%,3188,3116,72,2.30%,45,1.40%,264,2879,92.40%,237,7.60%,845
54,no,0.7,4531,21.70%,982,891,91,10.20%,96,10.80%,180,706,79.20%,185,20.80%,1319
55,no,0.69,4451,76.10%,3387,3315,72,2.20%,96,2.90%,179,3112,93.90%,203,6.10%,1259
56,no,0.68,4420,61.20%,2707,2633,74,2.80%,71,2.70%,236,2400,91.20%,233,8.80%,855
57,no,0.65,4192,48.00%,2013,2045,-32,-1.60%,46,2.20%,204,1763,86.20%,282,13.80%,1509
58,no,0.63,4072,38.40%,1564,1563,1,0.10%,33,2.10%,89,1442,92.30%,121,7.70%,486
59,no,0.62,4007,10.10%,405,347,58,16.70%,253,72.90%,93,59,17.00%,288,83.00%,3038
60,no,0.61,3931,28.70%,1127,1907,-780,-40.90%,126,6.60%,47,954,50.00%,953,50.00%,2705
61,yes,0.6,3901,102.20%,3986,3604,382,10.60%,618,17.10%,188,3180,88.20%,424,11.80%,1259
62,yes,0.59,3841,34.00%,1306,1256,50,4.00%,80,6.40%,283,943,75.10%,313,24.90%,2334
63,no,0.57,3711,53.60%,1988,1914,74,3.90%,10,0.50%,303,1675,87.50%,239,12.50%,1635
64,no,0.56,3667,81.00%,2969,2823,146,5.20%,162,5.70%,185,2622,92.90%,201,7.10%,2905
65,no,0.54,3535,36.20%,1278,1315,-37,-2.80%,24,1.80%,215,1039,79.00%,276,21.00%,2066
66,yes,0.49,3193,99.20%,3169,3154,15,0.50%,80,2.50%,140,2949,93.50%,205,6.50%,1370
67,no,0.49,3207,60.20%,1932,2790,-858,-30.80%,131,4.70%,126,1675,60.00%,1115,40.00%,1866
68,no,0.49,3200,39.70%,1271,1301,-30,-2.30%,0,0.00%,62,1209,92.90%,92,7.10%,403
69,no,0.49,3195,56.20%,1795,1722,73,4.20%,50,2.90%,185,1560,90.60%,162,9.40%,716
70,no,0.48,3095,16.80%,519,488,31,6.40%,132,27.00%,173,214,43.90%,274,56.10%,2141
71,no,0.48,3114,102.00%,3175,2821,354,12.50%,185,6.60%,564,2426,86.00%,395,14.00%,1503
72,no,0.46,3009,64.50%,1940,1862,78,4.20%,50,2.70%,226,1664,89.40%,198,10.60%,853
73,no,0.46,2977,12.00%,356,348,8,2.30%,116,33.30%,112,128,36.80%,220,63.20%,2512
74,no,0.46,2975,34.50%,1025,919,106,11.50%,140,15.20%,179,706,76.80%,213,23.20%,1812
75,no,0.45,2906,46.50%,1352,1353,-1,-0.10%,0,0.00%,146,1206,89.10%,147,10.90%,910
76,yes,0.44,2852,9.00%,256,263,-7,-2.70%,31,11.80%,83,142,54.00%,121,46.00%,2257
77,no,0.41,2690,48.60%,1308,1256,52,4.10%,57,4.50%,111,1140,90.80%,116,9.20%,1214
78,yes,0.41,2665,9.60%,257,230,27,11.70%,70,30.40%,114,73,31.70%,157,68.30%,2503
79,no,0.41,2650,82.60%,2190,2123,67,3.20%,106,5.00%,115,1969,92.70%,154,7.30%,1165
80,no,0.38,2484,34.00%,844,755,89,11.80%,151,20.00%,168,525,69.50%,230,30.50%,1250
81,no,0.38,2448,20.10%,493,490,3,0.60%,8,1.60%,33,452,92.20%,38,7.80%,135
82,no,0.37,2418,37.80%,914,921,-7,-0.80%,110,11.90%,187,617,67.00%,304,33.00%,1621
83,no,0.36,2312,11.30%,262,218,44,20.20%,121,55.50%,45,96,44.00%,122,56.00%,1342
84,no,0.36,2345,14.50%,340,343,-3,-0.90%,121,35.30%,148,71,20.70%,272,79.30%,1646
85,no,0.35,2286,19.30%,441,373,68,18.20%,180,48.30%,139,122,32.70%,251,67.30%,2233
86,no,0.35,2294,60.70%,1393,1369,24,1.80%,22,1.60%,58,1313,95.90%,56,4.10%,487
87,no,0.34,2198,25.80%,568,561,7,1.20%,75,13.40%,153,340,60.60%,221,39.40%,1091
88,no,0.33,2157,63.00%,1358,1338,20,1.50%,33,2.50%,149,1176,87.90%,162,12.10%,1145
89,no,0.32,2090,19.00%,398,384,14,3.60%,113,29.40%,89,196,51.00%,188,49.00%,1292
90,no,0.32,2056,68.60%,1410,1362,48,3.50%,74,5.40%,91,1245,91.40%,117,8.60%,1139
91,no,0.32,2050,59.80%,1225,1185,40,3.40%,26,2.20%,117,1082,91.30%,103,8.70%,460
92,no,0.31,2032,47.50%,965,929,36,3.90%,11,1.20%,97,857,92.20%,72,7.80%,372
93,yes,0.29,1876,52.60%,986,1000,-14,-1.40%,108,10.80%,47,831,83.10%,169,16.90%,2566
94,no,0.29,1904,60.90%,1160,1132,28,2.50%,43,3.80%,107,1010,89.20%,122,10.80%,885
95,no,0.29,1879,36.50%,685,677,8,1.20%,27,4.00%,30,628,92.80%,49,7.20%,1144
96,yes,0.28,1793,15.00%,269,288,-19,-6.60%,7,2.40%,13,249,86.50%,39,13.50%,194
97,no,0.28,1813,14.80%,269,227,42,18.50%,99,43.60%,90,80,35.20%,147,64.80%,1039
98,yes,0.28,1840,85.20%,1568,1490,78,5.20%,137,9.20%,64,1367,91.70%,123,8.30%,1117
99,no,0.27,1771,100.70%,1784,1772,12,0.70%,112,6.30%,64,1608,90.70%,164,9.30%,1113
100,yes,0.27,1741,60.80%,1059,1051,8,0.80%,57,5.40%,93,909,86.50%,142,13.50%,1479
101,no,0.26,1718,101.60%,1745,1718,27,1.60%,79,4.60%,48,1618,94.20%,100,5.80%,554
102,no,0.26,1672,97.70%,1633,1595,38,2.40%,69,4.30%,43,1521,95.40%,74,4.60%,834
